date,gasoline,wti,gasoline_bbls,crack_spread,year,cpi_values,crack_spread_adj,gasoline_adj,gasoline_bbls_adj,wti_adj
2009-12-28,2.662,76.2525,111.804,35.551500000000004,2009,202.301,17.573566121769048,1.3158610189766735,55.26616279702029,37.69259667525123
2010-01-04,2.718,79.7825,114.156,34.37350000000001,2010,208.026,16.523655696884045,1.3065674482997316,54.875832828588734,38.35217713170469
2010-01-11,2.804,82.548,117.76799999999999,35.219999999999985,2010,208.026,16.930575985694087,1.3479084345226076,56.61215424994952,39.68157826425543
2010-01-18,2.793,79.44,117.30600000000001,37.866000000000014,2010,208.026,18.202532375760725,1.3426206339592166,56.39006662628711,38.187534250526376
2010-01-25,2.76,76.27799999999999,115.91999999999999,39.641999999999996,2010,208.026,19.05627181217732,1.326757232269043,55.723803755299805,36.66753194312249
2010-02-01,2.717,73.838,114.114,40.27600000000001,2010,204.455,19.69920031302732,1.3288987796825706,55.81374874666797,36.11454843364065
2010-02-08,2.707,74.064,113.69399999999999,39.629999999999995,2010,204.455,19.383238365410477,1.3240077278618765,55.60832457019881,36.22508620478833
2010-02-15,2.664,74.38250000000001,111.888,37.5055,2010,204.455,18.344134406104033,1.3029762050328924,54.72500061138148,36.38086620527744
2010-02-22,2.709,78.60600000000001,113.778,35.172,2010,204.455,17.202807463745078,1.3249859382260154,55.649409405492655,38.44660194174757
2010-03-01,2.756,78.956,115.752,36.79599999999999,2010,209.999,17.521988199943806,1.312387201843818,55.12026247744036,37.598274277496564
2010-03-08,2.804,80.81800000000001,117.76799999999999,36.949999999999974,2010,209.999,17.595321882485145,1.3352444535450168,56.08026704889071,38.48494516640556
2010-03-15,2.841,81.34400000000001,119.322,37.977999999999994,2010,209.999,18.084848023085822,1.3528635850646908,56.820270572717014,38.735422549631195
2010-03-22,2.87,81.736,120.54,38.804,2010,209.999,18.47818322944395,1.366673174634165,57.40027333463493,38.92209010519098
2010-03-29,2.851,80.778,119.742,38.964,2010,209.999,18.554374068447945,1.3576255125024406,57.02027152510251,38.46589745665456
2010-04-05,2.877,84.12,120.83399999999999,36.713999999999984,2010,212.977,17.238481150546765,1.3508500917939494,56.735703855345875,39.497222704799114
2010-04-12,2.909,85.20400000000001,122.178,36.97399999999999,2010,212.977,17.360560060476008,1.3658751884006253,57.36675791282626,40.006197852350255
2010-04-19,2.911,83.832,122.262,38.43000000000001,2010,212.977,18.044201956079768,1.3668142569385426,57.406198791418795,39.36199683533903
2010-04-26,2.901,83.438,121.84199999999998,38.40399999999998,2010,212.977,18.03199406508683,1.3621189142489565,57.208994398456156,39.177000333369335
2010-05-03,2.95,84.616,123.9,39.284000000000006,2010,214.363,18.325923783488758,1.3761703279017368,57.799153771872945,39.47322998838419
2010-05-10,2.958,78.38,124.236,45.85600000000001,2010,214.363,21.391751375004088,1.3799023152316399,57.95589723972887,36.56414586472479
2010-05-17,2.918,73.618,122.55600000000001,48.93800000000002,2010,214.363,22.829499493849227,1.3612423785821248,57.17217990044924,34.34268040660002
2010-05-24,2.842,68.766,119.364,50.598,2010,214.363,23.603886864804092,1.325788498948046,55.68311695581794,32.07923009101384
2010-05-31,2.784,71.215,116.928,45.712999999999994,2010,214.363,21.325042101482065,1.2987315908062491,54.54672681386247,33.2216847123804
2010-06-07,2.78,72.636,116.75999999999999,44.123999999999995,2010,211.66,20.846640839081545,1.3134271945573088,55.163942171406966,34.31730133232543
2010-06-14,2.756,74.124,115.752,41.628,2010,211.66,19.66739109893225,1.302088254748181,54.6877066994236,35.02031560049135
2010-06-21,2.795,77.27000000000001,117.39,40.11999999999999,2010,211.66,18.954927714258712,1.3205140319380138,55.461589341396575,36.50666162713787
2010-06-28,2.809,77.14399999999999,117.97800000000001,40.83400000000002,2010,211.66,19.29226117358028,1.3271284134933385,55.739393366720215,36.447132193139936
2010-07-05,2.779,74.13250000000001,116.71799999999999,42.58549999999998,2010,212.372,20.052313864351223,1.30855291658034,54.95922249637428,34.906908632023054
2010-07-12,2.771,74.496,116.38199999999999,41.885999999999996,2010,212.372,19.722938993840994,1.3047859416495582,54.801009549281446,35.07807055544045
2010-07-19,2.775,76.668,116.55,39.88199999999999,2010,212.372,18.779311773680142,1.3066694291149492,54.88011602282786,36.10080424914772
2010-07-26,2.801,78.042,117.64200000000001,39.60000000000001,2010,212.372,18.64652590737009,1.3189120976399902,55.394308100879584,36.7477821935095
2010-08-02,2.788,78.58399999999999,117.09599999999999,38.512,2010,212.663,18.10940314017953,1.3109943901854106,55.061764387787235,36.95236124760771
2010-08-09,2.835,81.828,119.07,37.24199999999999,2010,212.663,17.512214160432226,1.3330950847114917,55.989993557882656,38.477779397450426
2010-08-16,2.798,76.914,117.516,40.602000000000004,2010,212.663,19.092178705275483,1.315696665616492,55.25925995589266,36.16708125061717
2010-08-23,2.759,74.352,115.878,41.525999999999996,2010,212.663,19.526668955107375,1.2973577914352754,54.48902724028157,34.9623582851742
2010-08-30,2.736,73.30600000000001,114.912,41.605999999999995,2010,212.663,19.56428715855602,1.286542557943789,54.03478743363914,34.47050027508312
2010-09-06,2.735,73.85249999999999,114.86999999999999,41.0175,2010,210.003,19.53186383051671,1.3023623472045638,54.69921858259168,35.16735475207497
2010-09-13,2.772,75.28999999999999,116.42399999999999,41.134,2010,210.003,19.587339228487213,1.3199811431265267,55.43920801131412,35.85186878282691
2010-09-20,2.775,75.14399999999999,116.55,41.406000000000006,2010,210.003,19.716861187697322,1.3214096941472264,55.499207154183516,35.78234596648619
2010-09-27,2.747,74.096,115.374,41.27799999999999,2010,210.003,19.655909677480796,1.3080765512873627,54.93921515406923,35.28330547658843
2010-10-04,2.784,79.39,116.928,37.538,2010,210.947,17.79499115891669,1.3197627840168382,55.4300369287072,37.635045769790516
2010-10-11,2.871,82.44399999999999,120.582,38.138000000000005,2010,210.947,18.079422793403086,1.3610053710173646,57.162225582729306,39.08280278932622
2010-10-18,2.887,82.34,121.254,38.914,2010,210.947,18.44728770733881,1.3685902146036684,57.48078901335407,39.03350130601525
2010-10-25,2.87,80.936,120.54,39.604,2010,210.947,18.774384086998154,1.3605313182932206,57.142315368315266,38.36793128131711
2010-11-01,2.861,82.21799999999999,120.162,37.94400000000002,2010,211.97,17.90064631787518,1.3497192999009295,56.68821059583904,38.78756427796386
2010-11-08,2.917,85.754,122.514,36.75999999999999,2010,211.97,17.342076708968246,1.3761381327546351,57.79780157569468,40.45572486672643
2010-11-15,2.944,86.47,123.648,37.178,2010,211.97,17.539274425626267,1.3888757843091004,58.332782940982206,40.793508515355946
2010-11-22,2.931,81.506,123.102,41.596000000000004,2010,211.97,19.623531631834695,1.3827428409680615,58.07519932065859,38.451667688823896
2010-11-29,2.912,83.4,122.304,38.903999999999996,2010,211.97,18.353540595367267,1.373779308392697,57.698730952493285,39.34519035712601
2010-12-06,3.013,87.47200000000001,126.54599999999999,39.073999999999984,2010,217.953,17.92771836129807,1.3824081338637229,58.06114162227636,40.13342326097829
2010-12-13,3.035,88.35400000000001,127.47,39.115999999999985,2010,217.953,17.946988570930422,1.3925020531949548,58.4850862341881,40.53809766325768
2010-12-20,3.037,88.28,127.554,39.274,2010,217.953,18.019481264309277,1.3934196822250668,58.52362665345281,40.50414538914353
2010-12-27,3.106,90.24000000000001,130.452,40.21199999999999,2010,217.953,18.4498492794318,1.4250778837639306,59.8532711180851,41.403421838653294
2011-01-03,3.124,91.08600000000001,131.208,40.121999999999986,2011,223.266,17.97049259627529,1.3992278268970646,58.76756872967671,40.79707613340142
2011-01-10,3.142,89.074,131.964,42.89,2011,223.266,19.210269364793568,1.4072899590622845,59.10617828061595,39.89590891582238
2011-01-17,3.158,91.47,132.636,41.166,2011,223.266,18.438096261858053,1.4144562987647022,59.4071645481175,40.96906828625944
2011-01-24,3.163,89.15,132.846,43.696,2011,223.266,19.571273727302856,1.4166957799217077,59.501222756711726,39.929949029408874
2011-01-31,3.155,86.96400000000001,132.51,45.54599999999998,2011,223.266,20.3998817553949,1.413112610070499,59.350729622960955,38.950847867566054
2011-02-07,3.185,88.58200000000001,133.77,45.188,2011,226.86,19.918892709159834,1.4039495724235211,58.965882041787886,39.04698933262805
2011-02-14,3.193,84.98599999999999,134.106,49.120000000000005,2011,226.86,21.652120250374683,1.4074759763730935,59.11399100766992,37.46187075729524
2011-02-21,3.243,84.2525,136.206,51.95349999999999,2011,226.86,22.901128449263858,1.429516001057921,60.03967204443268,37.13854359516882
2011-02-28,3.435,95.628,144.27,48.64200000000001,2011,226.86,21.44141761438773,1.5141496958476592,63.5942872256017,42.15286961121396
2011-03-07,3.572,102.70599999999999,150.024,47.31800000000001,2011,242.516,19.51128997674381,1.472892510184895,61.861485427765594,42.35019545102178
2011-03-14,3.621,102.904,152.082,49.178,2011,242.516,20.278249682495176,1.4930973626482376,62.710089231225986,42.43183954873081
2011-03-21,3.617,100.022,151.914,51.89199999999998,2011,242.516,21.397351102607658,1.4914479869369444,62.64081545135166,41.243464348744006
2011-03-28,3.65,104.64200000000001,153.29999999999998,48.65799999999997,2011,242.516,20.063830840027038,1.505055336555114,63.21232413531478,43.148493295287736
2011-04-04,3.737,106.00399999999999,156.954,50.95000000000002,2011,253.495,20.099015759679684,1.47419081244206,61.91601412256652,41.816998362886835
2011-04-11,3.843,109.55799999999999,161.406,51.84800000000001,2011,253.495,20.4532633779759,1.5160062328645534,63.672261780311246,43.218998402335345
2011-04-18,3.896,107.19000000000001,163.632,56.44199999999999,2011,253.495,22.26552791968283,1.5369139430758003,64.5503856091836,42.28485768950078
2011-04-25,3.932,110.355,165.144,54.789,2011,253.495,21.61344405215093,1.551115406615515,65.14684707785163,43.53340302570071
2011-05-02,4.014,112.56599999999999,168.58800000000002,56.022000000000034,2011,260.376,21.515807908563016,1.5416167388699422,64.74790303253758,43.23209512397456
2011-05-09,4.018,103.29400000000001,168.756,65.46199999999999,2011,260.376,25.141334070728483,1.5431529787691647,64.81242510830492,39.67109103757643
2011-05-16,4.014,99.184,168.58800000000002,69.40400000000002,2011,260.376,26.65529849141243,1.5416167388699422,64.74790303253758,38.09260454112515
2011-05-23,3.904,98.02400000000002,163.968,65.94399999999997,2011,260.376,25.32645097858481,1.4993701416413188,62.97354594893538,37.64709497035058
